GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
projeto,com.grupoAura.projeto.service,UsuarioService,13,61,0,4,4,15,2,5,2,3
projeto,com.grupoAura.projeto.service,ProfissionalService,65,77,2,4,15,18,5,6,4,4
projeto,com.grupoAura.projeto.service,ConsultaService,0,112,0,2,0,26,0,9,0,8
projeto,com.grupoAura.projeto.service,PacienteService,62,65,2,2,15,15,5,5,4,4
projeto,com.grupoAura.projeto.controller,UsuarioController,0,30,0,0,0,7,0,4,0,4
projeto,com.grupoAura.projeto.controller,ConsultaController,0,32,0,0,0,8,0,5,0,5
projeto,com.grupoAura.projeto.controller,PacienteController,13,26,0,0,2,7,2,4,2,4
projeto,com.grupoAura.projeto.controller,ProfissionalController,0,39,0,0,0,9,0,6,0,6
projeto,com.grupoAura.projeto.exception,BusinessConflictException,0,4,0,0,0,2,0,1,0,1
projeto,com.grupoAura.projeto.exception,ErrorResponse,0,18,0,0,0,3,0,2,0,2
projeto,com.grupoAura.projeto.exception,ResourceNotFoundException,0,6,0,0,0,2,0,1,0,1
projeto,com.grupoAura.projeto.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
projeto,com.grupoAura.projeto.exception,GlobalExceptionHandler,0,58,0,0,0,14,0,6,0,6
projeto,com.grupoAura.projeto.dto,ProfissionalRequestDTO,0,21,0,0,0,1,0,1,0,1
projeto,com.grupoAura.projeto.dto,UsuarioResponseDTO,0,22,0,0,0,2,0,2,0,2
projeto,com.grupoAura.projeto.dto,PacienteRequestDTO,0,18,0,0,0,1,0,1,0,1
projeto,com.grupoAura.projeto.dto,ConsultaRequestDTO,0,15,0,0,0,1,0,1,0,1
projeto,com.grupoAura.projeto.dto,ConsultaResponseDTO,4,62,4,4,0,9,4,2,0,2
projeto,com.grupoAura.projeto.dto,ProfissionalResponseDTO,0,37,0,0,0,8,0,2,0,2
projeto,com.grupoAura.projeto.dto,PacienteResponseDTO,0,32,0,0,0,7,0,2,0,2
projeto,com.grupoAura.projeto.dto,UsuarioRequestDTO,0,12,0,0,0,1,0,1,0,1
projeto,com.grupoAura.projeto.entity,Paciente,0,21,0,0,0,6,0,4,0,4
projeto,com.grupoAura.projeto.entity,Consulta,0,34,0,0,0,10,0,10,0,10
projeto,com.grupoAura.projeto.entity,Profissional,0,31,0,0,0,9,0,6,0,6
projeto,com.grupoAura.projeto.entity,Usuario,0,52,0,0,0,17,0,11,0,11
projeto,com.grupoAura.projeto,ProjetoApplication,5,3,0,0,2,1,1,1,1,1
